Id,id_tanggal_transaksi_awal,tanggal_transaksi_awal,tipe_kartu,id_merchant,nama_merchant,tipe_mesin,tipe_transaksi,nama_transaksi,nilai_transaksi,id_negara,nama_negara,nama_kota,lokasi_mesin,pemilik_mesin,waktu_transaksi,kuartal_transaksi,kepemilikan_kartu,nama_channel,id_channel,flag_transaksi_finansial,status_transaksi,bank_pemilik_kartu,rata_rata_nilai_transaksi,maksimum_nilai_transaksi,minimum_nilai_transaksi,rata_rata_jumlah_transaksi
6678,2457607,2457703,111,-2,1798,1590933,385,11,1250000,96,5,241,1835,613,162158,3,2,1,9,FALSE,3,999,2.877.203.488,2300000,21600,1.2
437,2457579,2457592,93,-2,1798,2687662,26,10,50000,96,5,128,4173,613,104856,2,2,1,9,FALSE,3,999,3.389.741.935,1400000,64524,1.52
1696,2457349,2457359,103,-2,1798,2254860,385,11,500000,96,5,128,3195,613,145437,3,2,1,9,FALSE,3,999,797.473.227,1750000,250000,1.46
8868,2457623,2457637,0,128022,1254,2688775,58,6,45000,96,5,70,6649,1864,113028,2,2,2,4,FALSE,3,999,6.457.195.423,8000000,23000,2.9
7014,2457467,2457499,93,-2,1798,-3,156,12,1000000,96,5,8,4,9,171338,3,1,5,8,FALSE,3,999,2.116.285.714,12000000,200000,2.69
13767,2457530,2457609,111,-2,1798,3181082,26,10,2000000,96,5,128,4547,613,173421,3,2,1,9,FALSE,3,999,3.392.190.288,19900000,76000,4
11799,2457529,2457534,111,-2,1798,1593806,385,11,1000000,96,5,265,1793,613,152134,3,2,1,9,FALSE,3,999,2.379.787.081,10000000,100000,02.08
12699,2457655,2457712,111,-2,1798,3363377,159,19,5000000,96,5,265,4605,613,163323,3,2,1,9,FALSE,3,999,1.341.592.168,7500000,100000,1.24
14786,2457529,2457572,111,123189,1670,2734067,58,6,2499000,96,5,128,7046,2464,102907,2,2,2,4,FALSE,3,999,2.917.987.388,7328969,500000,2.5
7848,2457509,2457514,103,-2,1798,2626774,159,19,150000,96,5,251,4207,613,133714,3,2,1,9,FALSE,3,999,627190,20000000,26500,2.73
4597,2457504,2457551,104,-2,1798,3126091,238,9,1000000,96,5,75,7933,613,170539,3,2,1,9,FALSE,3,999,2.120.522.386,15000000,147000,1.8
14460,2457647,2457725,111,-2,1798,1818260,147,3,2000000,96,5,128,2267,613,140149,3,2,1,9,FALSE,3,999,1.103.847.967,2500000,25000,1.98
505,2457587,2457630,93,279648,1253,2653395,58,6,5823000,96,5,96,6478,1854,131708,3,2,2,4,FALSE,3,999,4450000,50000000,100000,1.55
10723,2457445,2457515,0,-2,1798,1613153,385,11,500000,96,5,265,1791,613,201527,4,2,1,9,FALSE,3,999,6.599.672.222,2000000,79885,1.32
10365,2457510,2457581,93,-2,1798,1304764,238,9,2500000,96,5,70,5351,613,171821,3,2,1,9,FALSE,3,999,4.591.480.984,1500000,60000,1.67
9087,2457438,2457454,111,104414,439,2027516,58,6,230000,96,5,128,7669,837,161618,3,2,2,4,FALSE,3,999,3.364.659.756,2250000,30000,2.23
3246,2457362,2457443,111,-2,1798,2397232,385,11,100000,96,5,136,3542,613,144651,3,2,1,9,FALSE,3,999,2.668.164.835,1000000,26500,1.23
9003,2457510,2457574,111,-2,1798,1298875,26,10,1000000,96,5,128,694,613,142628,3,2,1,9,FALSE,3,999,5.692.307.692,2000000,50000,1.41
1891,2457658,2457700,111,-2,1798,3048888,238,9,400000,96,5,128,7855,613,152410,3,2,1,9,FALSE,3,999,599.359.101,2500000,20000,2.3
6294,2457568,2457617,93,-2,1798,2309371,26,10,1250000,96,5,128,3248,613,122445,3,2,1,9,FALSE,3,999,9.847.912.186,46500000,19000,3.4
2593,2457659,2457665,0,-2,1798,1842846,385,11,300000,96,5,128,2125,613,144503,3,2,1,9,FALSE,3,999,345.815.875,2560000,23500,1.44
9180,2457433,2457511,103,-2,1798,1154046,159,19,2445100,96,5,70,501,613,142140,3,2,1,9,FALSE,3,999,1265680.38,2500000,109270,1.76
5149,2457632,2457681,0,-2,1798,222349,385,11,1000000,96,5,70,4323,613,190553,4,2,1,9,FALSE,3,999,6.913.043.478,15120000,39300,1.81
4075,2457364,2457443,104,-2,1798,2432621,385,11,1000000,96,5,128,3836,613,110503,2,2,1,9,FALSE,3,999,1.196.086.239,3300000,100000,1.95
5791,2457321,2457411,93,-2,1798,1614402,159,19,300000,96,5,169,1907,613,162019,3,2,1,9,FALSE,3,999,2.584.859.865,1769989,25000,1.94
9283,2457610,2457704,103,137469,1769,3338694,58,6,307100,96,5,265,6020,2590,223400,4,2,2,4,FALSE,3,999,1.020.581.881,8400000,20000,2.26
5989,2457420,2457504,0,597080,1264,2506121,58,6,200000,96,5,140,6924,1869,165449,3,2,2,4,FALSE,3,999,2.018.948.571,1150000,24500,1.67
5204,2457621,2457711,104,-2,1798,1364045,26,10,500000,96,5,102,1082,613,182809,4,2,1,9,FALSE,3,999,8.399.084.912,2000000,40000,1.83
13440,2457534,2457589,104,-2,1798,1093185,161,17,110000,96,5,128,4603,613,82848,2,2,1,9,FALSE,3,999,1.757.949.153,600000,50000,1.25
3496,2457564,2457656,103,-2,1798,-3,156,12,500000,96,5,8,120,192,110520,2,1,5,8,FALSE,3,999,895.243.127,3500000,49000,1.98
5299,2457373,2457464,0,-2,1798,-3,156,12,400000,96,5,60,1177,1595,180829,4,1,5,8,FALSE,3,999,1.028.470.333,14905000,25700,2.6
5265,2457410,2457485,4,-2,1798,91,385,11,3460210,96,5,186,5582,613,120649,3,2,1,9,FALSE,3,999,1.901.404.958,20000000,100000,4.26
11984,2457482,2457502,0,-2,1798,1937779,148,5,100000,96,5,265,2616,613,101216,2,2,1,9,FALSE,3,999,7.384.027.778,3931000,25000,02.02
12727,2457476,2457506,0,-2,1798,84019,159,19,4000000,96,5,128,3317,613,62025,2,2,1,9,FALSE,3,999,1965300.17,11110000,300000,1.29
